year,month,state,gender,value
2036,July,Jammu and Kashmir,Female,2305
2036,July,Himachal Pradesh,Total,829
2036,July,Himachal Pradesh,Male,447
2036,July,Himachal Pradesh,Female,381
2036,July,Haryana,Total,17207
2036,July,Haryana,Male,9187
2036,July,Haryana,Female,8020
2036,July,Gujarat,Total,44964
2036,July,Gujarat,Male,23917
2036,July,Gujarat,Female,21047
2036,July,Goa,Total,1473
2036,July,Goa,Male,753
2036,July,Goa,Female,720
2036,July,Delhi,Total,26727
2036,July,Delhi,Male,14308
2036,July,Delhi,Female,12419
2036,July,Daman and Diu,Total,2011
2036,July,Daman and Diu,Male,1710
2036,July,Daman and Diu,Female,301
2036,July,Dadra and Nagar Haveli,Total,1404
2036,July,Dadra and Nagar Haveli,Male,835
2036,July,Dadra and Nagar Haveli,Female,569
2036,July,Chhattisgarh,Total,10723
2036,July,Chhattisgarh,Male,5482
2036,July,Chhattisgarh,Female,5241
2036,July,Chandigarh,Total,1362
2036,July,Chandigarh,Male,748
2036,July,Chandigarh,Female,615
2036,July,Bihar,Total,19844
2036,July,Bihar,Male,10472
2036,July,Bihar,Female,9372
2036,July,Assam,Total,6792
2036,July,Assam,Male,3490
2036,July,Assam,Female,3302
2036,July,Arunachal Pradesh,Total,494
2036,July,Arunachal Pradesh,Male,261
2036,July,Arunachal Pradesh,Female,232
2036,July,Andhra Pradesh,Total,24393
2036,July,Andhra Pradesh,Male,12276
2036,July,Andhra Pradesh,Female,12117
2036,July,Andaman and Nicobar Islands,Total,213
2036,July,Andaman and Nicobar Islands,Male,114
2036,July,Andaman and Nicobar Islands,Female,99
2036,July,All India,Total,597079
2036,July,All India,Male,309957
2036,July,All India,Female,287122
2035,October,West Bengal,Total,43438
2035,October,West Bengal,Male,22345
2035,October,West Bengal,Female,21094
2035,October,Uttarakhand,Total,5408
2035,October,Uttarakhand,Male,2870
2035,October,Uttarakhand,Female,2537
2035,October,Uttar Pradesh,Total,66772
2035,October,Uttar Pradesh,Male,35255
2035,October,Uttar Pradesh,Female,31518
2035,October,Tripura,Total,2433
2035,October,Tripura,Male,1233
2035,October,Tripura,Female,1200
2035,October,Telangana,Total,22485
2035,October,Telangana,Male,11316
2035,October,Telangana,Female,11169
2035,October,Tamil Nadu,Total,46402
2035,October,Tamil Nadu,Male,23201
2035,October,Tamil Nadu,Female,23201
2035,October,Sikkim,Total,559
2035,October,Sikkim,Male,292
2035,October,Sikkim,Female,267
2035,October,Rajasthan,Total,25633
2035,October,Rajasthan,Male,13392
2035,October,Rajasthan,Female,12240
2035,October,Punjab,Total,15154
2035,October,Punjab,Male,8082
2035,October,Punjab,Female,7072
2035,October,Puducherry,Total,1554
2035,October,Puducherry,Male,761
2035,October,Puducherry,Female,793
2035,October,Odisha,Total,10381
2035,October,Odisha,Male,5373
2035,October,Odisha,Female,5008
2035,October,Nagaland,Total,1563
2035,October,Nagaland,Male,819
2035,October,Nagaland,Female,744
2035,October,Mizoram,Total,788
2035,October,Mizoram,Male,394
2035,October,Mizoram,Female,394
2035,October,Meghalaya,Total,782
2035,October,Meghalaya,Male,391
2035,October,Meghalaya,Female,391
2035,October,Manipur,Total,1267
2035,October,Manipur,Male,625
2035,October,Manipur,Female,642
2035,October,Maharashtra,Total,70925
2035,October,Maharashtra,Male,37270
2035,October,Maharashtra,Female,33655
2035,October,Madhya Pradesh,Total,29592
2035,October,Madhya Pradesh,Male,15428
2035,October,Madhya Pradesh,Female,14163
2035,October,Lakshadweep,Total,71
2035,October,Lakshadweep,Male,37
2035,October,Lakshadweep,Female,34
2035,October,Ladakh,Total,128
2035,October,Ladakh,Male,84
2035,October,Ladakh,Female,44
2035,October,Kerala,Total,35448
2035,October,Kerala,Male,16952
2035,October,Kerala,Female,18495
2035,October,Karnataka,Total,36308
2035,October,Karnataka,Male,18496
2035,October,Karnataka,Female,17812
2035,October,Jharkhand,Total,12739
2035,October,Jharkhand,Male,6669
2035,October,Jharkhand,Female,6069
2035,October,Jammu and Kashmir,Total,4978
2035,October,Jammu and Kashmir,Male,2695
2035,October,Jammu and Kashmir,Female,2283
2035,October,Himachal Pradesh,Total,826
2035,October,Himachal Pradesh,Male,446
2035,October,Himachal Pradesh,Female,380
2035,October,Haryana,Total,16950
2035,October,Haryana,Male,9050
2035,October,Haryana,Female,7900
2035,October,Gujarat,Total,44403
2035,October,Gujarat,Male,23619
2035,October,Gujarat,Female,20784
2035,October,Goa,Total,1459
2035,October,Goa,Male,746
2035,October,Goa,Female,713
